Timestamp,Dancer_Setpoint,Dancer_Process_Value,Dancer_Output,Nip_Setpoint,Nip_Process_Value,Nip_Output,Seal1_Heat1_Setpoint,Seal1_Heat1_Process_Value,Seal1_Heat1_Draw_Temp_Correction,Seal1_Heat2_Setpoint,Seal1_Heat2_Process_Value,Seal1_Heat2_Draw_Temp_Correction,Seal1_Heat3_Setpoint,Seal1_Heat3_Process_Value,Seal1_Heat3_Draw_Temp_Correction,Seal1_Heat4_Setpoint,Seal1_Heat4_Process_Value,Seal1_Heat4_Draw_Temp_Correction,Seal2_Heat1_Setpoint,Seal2_Heat1_Process_Value,Seal2_Heat1_Draw_Temp_Correction,Seal2_Heat2_Setpoint,Seal2_Heat2_Process_Value,Seal2_Heat2_Draw_Temp_Correction,Seal2_Heat3_Setpoint,Seal2_Heat3_Process_Value,Seal2_Heat3_Draw_Temp_Correction,Seal2_Heat4_Setpoint,Seal2_Heat4_Process_Value,Seal2_Heat4_Draw_Temp_Correction,Seal1_Temperature_Setpoint,Seal1_Temperature_Process_Value,Seal2_Temperature_Setpoint,Seal2_Temperature_Process_Value,Line_Speed,Production_Length,Extrusion_Output,Printmark_Sensor_1_Offset,Printmark_Sensor_2_Offset,Punch_Position_Offset,Punch_Speed_Offset,Seal1_Position_Offset,Seal2_Position_Offset
2026-07-01T00:00:00.000Z,50,49.993,48.199,42,41.854,44.418,99.4,99.041,0.359,99.8,99.57,0.23,100.2,99.876,0.324,100.6,100.701,-0.101,100,99.988,0.012,100.4,100.484,-0.084,100.8,101.037,-0.237,101.2,101.499,-0.299,100,100.275,101,100.966,33.786,0,71.676,-0.02,0.341,0,-0.026,0,0.31
2026-07-01T00:15:00.000Z,50,50.351,48.725,42,42.126,44.556,99.4,99.544,-0.144,99.8,100.334,-0.534,100.2,100.535,-0.335,100.6,100.727,-0.127,100,100.201,-0.201,100.4,101.013,-0.613,100.8,100.678,0.122,101.2,101.088,0.112,100,100.515,101,100.697,34.471,30690,72.861,0.016,0.41,0.035,0.057,0.032,0.308
2026-07-01T00:30:00.000Z,50,50.114,49.539,42,42.394,45.032,99.4,100.157,-0.757,99.8,100.292,-0.492,100.2,100.428,-0.228,100.6,101.326,-0.726,100,100.42,-0.42,100.4,100.953,-0.553,100.8,101.26,-0.46,101.2,101.863,-0.663,100,100.837,101,100.914,34.371,61380,73.063,0.198,0.329,0.069,0.045,0.064,0.303
2026-07-01T00:45:00.000Z,50,50.228,49.691,42,42.404,45.388,99.4,100.443,-1.043,99.8,100.092,-0.292,100.2,100.869,-0.669,100.6,101.553,-0.953,100,100.761,-0.761,100.4,100.894,-0.494,100.8,101.326,-0.526,101.2,101.792,-0.592,100,100.966,101,101.073,34.822,92070,74.633,0.244,0.34,0.103,0.099,0.095,0.295
2026-07-01T01:00:00.000Z,50,50.69,49.904,42,42.433,45.813,99.4,100.199,-0.799,99.8,100.395,-0.595,100.2,101.296,-1.096,100.6,101.15,-0.55,100,100.846,-0.846,100.4,101.254,-0.854,100.8,101.77,-0.97,101.2,102.215,-1.015,100,101.141,101,101.303,35.179,122760,74.705,0.389,0.338,0.134,0.142,0.125,0.284
2026-07-01T01:15:00.000Z,50,50.449,50.667,42,42.487,46.122,99.4,100.39,-0.99,99.8,100.685,-0.885,100.2,101.366,-1.166,100.6,101.526,-0.926,100,101.499,-1.499,100.4,101.694,-1.294,100.8,101.969,-1.169,101.2,102.032,-0.832,100,101.395,101,101.563,35.498,153450,75.463,0.456,0.321,0.164,0.18,0.153,0.269
2026-07-01T01:30:00.000Z,50,50.797,51.275,42,42.463,45.542,99.4,101.176,-1.776,99.8,100.743,-0.943,100.2,101.264,-1.064,100.6,102.175,-1.575,100,101.058,-1.058,100.4,101.487,-1.087,100.8,102.518,-1.718,101.2,102.721,-1.521,100,101.643,101,101.529,35.882,184140,76.181,0.414,0.144,0.191,0.226,0.181,0.252
2026-07-01T01:45:00.000Z,50,50.36,50.531,42,42.412,46.343,99.4,100.552,-1.152,99.8,101.65,-1.85,100.2,101.366,-1.166,100.6,102.196,-1.596,100,101.044,-1.044,100.4,101.785,-1.385,100.8,102.007,-1.207,101.2,102.806,-1.606,100,101.676,101,101.582,36.062,214830,76.513,0.364,0.131,0.215,0.247,0.206,0.232
2026-07-01T02:00:00.000Z,50,50.588,51.471,42,42.472,46.519,99.4,100.951,-1.551,99.8,101.433,-1.633,100.2,101.838,-1.638,100.6,102.555,-1.955,100,101.45,-1.45,100.4,101.749,-1.349,100.8,102.235,-1.435,101.2,102.909,-1.709,100,101.89,101,101.479,35.797,245520,76.131,0.465,0.105,0.236,0.216,0.23,0.21
2026-07-01T02:15:00.000Z,50,51.048,51.419,42,42.311,46.616,99.4,101.232,-1.832,99.8,101.864,-2.064,100.2,102.012,-1.812,100.6,102.526,-1.926,100,101.383,-1.383,100.4,101.969,-1.569,100.8,102.203,-1.403,101.2,102.997,-1.797,100,102.023,101,101.39,36.26,276210,76.377,0.377,-0.022,0.253,0.271,0.251,0.185
