Timestamp,Dancer_Setpoint,Dancer_Process_Value,Dancer_Output,Nip_Setpoint,Nip_Process_Value,Nip_Output,Seal1_Heat1_Setpoint,Seal1_Heat1_Process_Value,Seal1_Heat1_Draw_Temp_Correction,Seal1_Heat2_Setpoint,Seal1_Heat2_Process_Value,Seal1_Heat2_Draw_Temp_Correction,Seal1_Heat3_Setpoint,Seal1_Heat3_Process_Value,Seal1_Heat3_Draw_Temp_Correction,Seal1_Heat4_Setpoint,Seal1_Heat4_Process_Value,Seal1_Heat4_Draw_Temp_Correction,Seal2_Heat1_Setpoint,Seal2_Heat1_Process_Value,Seal2_Heat1_Draw_Temp_Correction,Seal2_Heat2_Setpoint,Seal2_Heat2_Process_Value,Seal2_Heat2_Draw_Temp_Correction,Seal2_Heat3_Setpoint,Seal2_Heat3_Process_Value,Seal2_Heat3_Draw_Temp_Correction,Seal2_Heat4_Setpoint,Seal2_Heat4_Process_Value,Seal2_Heat4_Draw_Temp_Correction,Seal1_Temperature_Setpoint,Seal1_Temperature_Process_Value,Seal2_Temperature_Setpoint,Seal2_Temperature_Process_Value,Line_Speed,Production_Length,Extrusion_Output,Printmark_Sensor_1_Offset,Printmark_Sensor_2_Offset,Punch_Position_Offset,Punch_Speed_Offset,Seal1_Position_Offset,Seal2_Position_Offset
2026-07-01T00:00:00.000Z,50,49.993,48.199,42,41.854,44.418,99.4,99.041,0.359,99.8,99.57,0.23,100.2,99.876,0.324,100.6,100.701,-0.101,100,99.988,0.012,100.4,100.484,-0.084,100.8,101.037,-0.237,101.2,101.499,-0.299,100,100.275,101,100.966,33.786,0,71.676,-0.02,0.341,0,-0.026,0,0.31
2026-07-01T00:10:00.000Z,50,49.749,48.613,42,42.291,44.255,99.4,99.386,0.014,99.8,100.249,-0.449,100.2,100.06,0.14,100.6,101.05,-0.45,100,99.808,0.192,100.4,100.757,-0.357,100.8,101.311,-0.511,101.2,100.946,0.254,100,100.446,101,100.66,34.187,20460,72.484,0.124,0.443,0.023,0.022,0.021,0.309
2026-07-01T00:20:00.000Z,50,50.124,48.879,42,41.947,44.091,99.4,100.121,-0.721,99.8,99.873,-0.073,100.2,100.237,-0.037,100.6,101.065,-0.465,100,100.682,-0.682,100.4,101.001,-0.601,100.8,101.552,-0.752,101.2,101.633,-0.433,100,100.771,101,100.705,34.487,40920,72.58,0.076,0.338,0.046,0.058,0.043,0.307
2026-07-01T00:30:00.000Z,50,50.114,49.539,42,42.394,45.032,99.4,100.157,-0.757,99.8,100.292,-0.492,100.2,100.428,-0.228,100.6,101.326,-0.726,100,100.42,-0.42,100.4,100.953,-0.553,100.8,101.26,-0.46,101.2,101.863,-0.663,100,100.837,101,100.914,34.371,61380,73.063,0.198,0.329,0.069,0.045,0.064,0.303
2026-07-01T00:40:00.000Z,50,50.552,49.282,42,42.383,44.772,99.4,100.045,-0.645,99.8,100.781,-0.981,100.2,100.654,-0.454,100.6,101.656,-1.056,100,101.088,-1.088,100.4,101.22,-0.82,100.8,101.901,-1.101,101.2,102.201,-1.001,100,101.193,101,100.989,34.943,81840,73.828,0.196,0.436,0.092,0.113,0.084,0.298
2026-07-01T00:50:00.000Z,50,50.021,49.66,42,41.953,45.511,99.4,100.149,-0.749,99.8,100.875,-1.075,100.2,100.936,-0.736,100.6,101.442,-0.842,100,100.791,-0.791,100.4,100.847,-0.447,100.8,101.289,-0.489,101.2,102.391,-1.191,100,101.09,101,101.034,34.894,102300,74.995,0.254,0.271,0.113,0.107,0.105,0.292
2026-07-01T01:00:00.000Z,50,50.69,49.904,42,42.433,45.813,99.4,100.199,-0.799,99.8,100.395,-0.595,100.2,101.296,-1.096,100.6,101.15,-0.55,100,100.846,-0.846,100.4,101.254,-0.854,100.8,101.77,-0.97,101.2,102.215,-1.015,100,101.141,101,101.303,35.179,122760,74.705,0.389,0.338,0.134,0.142,0.125,0.284
2026-07-01T01:10:00.000Z,50,50.186,50.175,42,42.177,46.166,99.4,100.662,-1.262,99.8,100.522,-0.722,100.2,100.856,-0.656,100.6,101.37,-0.77,100,100.952,-0.952,100.4,101.068,-0.668,100.8,101.968,-1.168,101.2,102.265,-1.065,100,101.208,101,100.968,35.221,143220,74.872,0.427,0.238,0.154,0.147,0.144,0.275
2026-07-01T01:20:00.000Z,50,50.324,51.165,42,42.266,45.895,99.4,100.437,-1.037,99.8,100.722,-0.922,100.2,101.438,-1.238,100.6,102.088,-1.488,100,101.382,-1.382,100.4,101.377,-0.977,100.8,101.664,-0.864,101.2,102.796,-1.596,100,101.488,101,101.112,35.581,163680,75.49,0.391,0.23,0.173,0.19,0.163,0.264
2026-07-01T01:30:00.000Z,50,50.797,51.275,42,42.463,45.542,99.4,101.176,-1.776,99.8,100.743,-0.943,100.2,101.264,-1.064,100.6,102.175,-1.575,100,101.058,-1.058,100.4,101.487,-1.087,100.8,102.518,-1.718,101.2,102.721,-1.521,100,101.643,101,101.529,35.882,184140,76.181,0.414,0.144,0.191,0.226,0.181,0.252
