Timestamp,Dancer_Setpoint,Dancer_Process_Value,Dancer_Output,Nip_Setpoint,Nip_Process_Value,Nip_Output,Seal1_Heat1_Setpoint,Seal1_Heat1_Process_Value,Seal1_Heat1_Draw_Temp_Correction,Seal1_Heat2_Setpoint,Seal1_Heat2_Process_Value,Seal1_Heat2_Draw_Temp_Correction,Seal1_Heat3_Setpoint,Seal1_Heat3_Process_Value,Seal1_Heat3_Draw_Temp_Correction,Seal1_Heat4_Setpoint,Seal1_Heat4_Process_Value,Seal1_Heat4_Draw_Temp_Correction,Seal2_Heat1_Setpoint,Seal2_Heat1_Process_Value,Seal2_Heat1_Draw_Temp_Correction,Seal2_Heat2_Setpoint,Seal2_Heat2_Process_Value,Seal2_Heat2_Draw_Temp_Correction,Seal2_Heat3_Setpoint,Seal2_Heat3_Process_Value,Seal2_Heat3_Draw_Temp_Correction,Seal2_Heat4_Setpoint,Seal2_Heat4_Process_Value,Seal2_Heat4_Draw_Temp_Correction,Seal1_Temperature_Setpoint,Seal1_Temperature_Process_Value,Seal2_Temperature_Setpoint,Seal2_Temperature_Process_Value,Line_Speed,Production_Length,Extrusion_Output,Printmark_Sensor_1_Offset,Printmark_Sensor_2_Offset,Punch_Position_Offset,Punch_Speed_Offset,Seal1_Position_Offset,Seal2_Position_Offset
2026-07-01T00:00:00.000Z,50,49.993,48.199,42,41.854,44.418,99.4,99.041,0.359,99.8,99.57,0.23,100.2,99.876,0.324,100.6,100.701,-0.101,100,99.988,0.012,100.4,100.484,-0.084,100.8,101.037,-0.237,101.2,101.499,-0.299,100,100.275,101,100.966,33.786,0,71.676,-0.02,0.341,0,-0.026,0,0.31
2026-07-01T00:05:00.000Z,50,49.806,47.656,42,41.742,43.89,99.4,99.587,-0.187,99.8,100.249,-0.449,100.2,100.375,-0.175,100.6,100.859,-0.259,100,100.014,-0.014,100.4,100.83,-0.43,100.8,101.067,-0.267,101.2,101.474,-0.274,100,100.557,101,100.671,34.239,10230,72.09,-0.045,0.383,0.012,0.029,0.011,0.31
2026-07-01T00:10:00.000Z,50,49.749,48.613,42,42.291,44.255,99.4,99.386,0.014,99.8,100.249,-0.449,100.2,100.06,0.14,100.6,101.05,-0.45,100,99.808,0.192,100.4,100.757,-0.357,100.8,101.311,-0.511,101.2,100.946,0.254,100,100.446,101,100.66,34.187,20460,72.484,0.124,0.443,0.023,0.022,0.021,0.309
2026-07-01T00:15:00.000Z,50,50.351,48.725,42,42.126,44.556,99.4,99.544,-0.144,99.8,100.334,-0.534,100.2,100.535,-0.335,100.6,100.727,-0.127,100,100.201,-0.201,100.4,101.013,-0.613,100.8,100.678,0.122,101.2,101.088,0.112,100,100.515,101,100.697,34.471,30690,72.861,0.016,0.41,0.035,0.057,0.032,0.308
2026-07-01T00:20:00.000Z,50,50.124,48.879,42,41.947,44.091,99.4,100.121,-0.721,99.8,99.873,-0.073,100.2,100.237,-0.037,100.6,101.065,-0.465,100,100.682,-0.682,100.4,101.001,-0.601,100.8,101.552,-0.752,101.2,101.633,-0.433,100,100.771,101,100.705,34.487,40920,72.58,0.076,0.338,0.046,0.058,0.043,0.307
2026-07-01T00:25:00.000Z,50,50.329,49.221,42,42.179,44.49,99.4,99.745,-0.345,99.8,99.979,-0.179,100.2,100.687,-0.487,100.6,101.397,-0.797,100,100.009,-0.009,100.4,101.05,-0.65,100.8,101.394,-0.594,101.2,101.897,-0.697,100,100.77,101,101.142,34.696,51150,73.393,0.198,0.399,0.058,0.084,0.053,0.305
2026-07-01T00:30:00.000Z,50,50.114,49.539,42,42.394,45.032,99.4,100.157,-0.757,99.8,100.292,-0.492,100.2,100.428,-0.228,100.6,101.326,-0.726,100,100.42,-0.42,100.4,100.953,-0.553,100.8,101.26,-0.46,101.2,101.863,-0.663,100,100.837,101,100.914,34.371,61380,73.063,0.198,0.329,0.069,0.045,0.064,0.303
2026-07-01T00:35:00.000Z,50,50.021,49.727,42,42.228,45.178,99.4,99.89,-0.49,99.8,100.45,-0.65,100.2,100.807,-0.607,100.6,101.616,-1.016,100,100.614,-0.614,100.4,100.976,-0.576,100.8,101.594,-0.794,101.2,102.069,-0.869,100,101.002,101,100.995,34.638,71610,73.284,0.202,0.352,0.081,0.077,0.074,0.301
2026-07-01T00:40:00.000Z,50,50.552,49.282,42,42.383,44.772,99.4,100.045,-0.645,99.8,100.781,-0.981,100.2,100.654,-0.454,100.6,101.656,-1.056,100,101.088,-1.088,100.4,101.22,-0.82,100.8,101.901,-1.101,101.2,102.201,-1.001,100,101.193,101,100.989,34.943,81840,73.828,0.196,0.436,0.092,0.113,0.084,0.298
2026-07-01T00:45:00.000Z,50,50.228,49.691,42,42.404,45.388,99.4,100.443,-1.043,99.8,100.092,-0.292,100.2,100.869,-0.669,100.6,101.553,-0.953,100,100.761,-0.761,100.4,100.894,-0.494,100.8,101.326,-0.526,101.2,101.792,-0.592,100,100.966,101,101.073,34.822,92070,74.633,0.244,0.34,0.103,0.099,0.095,0.295
